 17.24 17.64 28.19 17.16 23.97 20.88 38.86 15.53 35.74 36.84 27.22 27.41 14.21 36.34 32.80 19.68 25.71 29.35 40.94 36.68 31.37 39.52 30.84 27.56 36.61 25.86 37.54 31.50 45.33 33.74
 18.97 19.99 30.38 19.10 26.14 22.73 41.55 17.47 38.27 39.12 29.81 29.91 16.30 39.37 35.45 22.08 28.31 31.76 44.13 39.40 33.97 42.42 33.51 30.18 38.95 28.43 39.39 34.12 48.48 36.63
 21.80 23.50 33.47 21.89 29.15 25.46 45.11 20.47 41.71 42.38 33.39 33.66 19.31 43.30 38.97 25.29 32.04 35.29 48.02 43.02 37.66 46.04 37.09 33.73 42.16 32.00 41.95 37.51 52.27 40.42
 25.40 28.10 37.61 25.88 33.02 29.40 49.66 24.61 46.36 46.59 37.47 38.26 23.26 48.25 43.15 29.76 36.46 39.88 52.68 47.44 42.28 50.93 41.69 38.12 46.25 36.28 45.33 41.77 56.83 45.19
 28.45 31.68 41.03 29.26 36.16 32.61 53.37 28.03 49.98 50.08 41.22 42.18 26.75 52.43 46.63 33.62 40.35 43.74 56.29 51.07 46.18 54.69 45.49 41.53 49.35 39.81 47.89 45.20 60.49 48.91
 30.51 34.48 43.20 31.78 38.27 34.97 55.51 30.79 52.22 52.08 43.48 44.81 29.34 54.79 48.56 36.48 43.01 46.30 58.26 53.17 48.68 56.92 47.80 43.71 51.14 42.10 48.92 47.16 62.21 51.32
 34.44 39.14 47.58 36.19 42.20 39.33 60.19 35.49 57.06 56.55 47.80 49.82 33.74 59.86 52.63 41.44 47.69 51.23 62.78 57.67 53.63 61.92 52.61 47.80 55.14 46.38 52.30 51.51 66.64 56.00
 35.36 40.40 48.47 37.52 42.89 40.28 60.80 37.23 57.81 57.12 48.68 51.23 35.12 60.73 52.92 43.13 49.03 52.41 62.86 58.27 54.59 62.34 53.49 48.29 55.49 47.21 51.83 52.08 66.60 56.66
 39.77 45.35 53.05 42.43 46.93 45.15 65.44 42.49 62.71 61.61 52.88 56.30 39.87 65.60 56.77 48.30 53.71 57.53 66.85 62.51 59.48 67.14 58.21 52.23 59.47 51.42 55.12 56.32 70.39 61.21
 42.73 48.57 55.71 45.70 49.26 48.16 67.61 46.34 65.22 63.83 55.21 59.41 43.26 67.74 58.45 51.96 56.50 60.47 68.38 64.46 62.06 69.25 60.73 54.31 61.41 53.93 56.24 58.42 71.48 63.53
 44.86 50.73 57.65 48.17 50.68 50.40 68.98 49.31 66.89 65.35 56.70 61.78 45.54 69.26 59.24 54.51 58.62 62.54 69.07 65.59 63.77 70.58 62.41 55.44 62.57 55.53 56.66 59.88 71.88 64.94
 48.21 54.29 60.84 51.87 53.23 53.83 71.90 53.63 70.23 68.20 59.43 65.33 49.14 72.06 61.29 58.42 61.83 66.06 71.14 67.89 66.90 73.39 65.41 57.71 65.19 58.38 58.24 62.47 73.43 67.70
 50.45 56.43 62.82 54.42 54.52 56.06 73.31 56.71 71.95 69.64 60.74 67.51 51.61 73.40 61.82 60.95 63.79 68.13 71.68 68.80 68.46 74.60 66.98 58.65 66.16 59.93 58.53 63.90 73.38 68.90
 51.63 57.49 63.66 55.79 54.55 57.19 73.67 58.53 72.81 70.10 60.98 68.60 52.66 73.51 61.21 62.28 64.49 69.02 71.26 68.43 68.98 74.80 67.50 58.49 66.50 60.34 57.97 64.11 72.39 69.02
 55.26 61.13 66.72 59.46 56.99 60.55 76.09 62.59 75.60 72.55 63.40 71.76 56.17 75.75 62.75 65.91 67.52 72.06 72.98 70.26 71.45 76.97 69.84 60.68 68.73 63.07 59.41 66.65 73.23 71.42
 54.33 59.98 65.37 58.61 54.89 59.35 74.18 61.89 74.16 70.53 61.34 70.26 55.18 73.57 59.95 64.77 65.97 70.47 70.17 67.55 69.44 74.80 67.89 58.23 66.77 61.28 56.74 64.55 69.66 69.08
 56.66 62.63 67.49 61.13 56.06 61.57 75.58 64.52 76.15 72.16 62.65 72.29 57.37 74.81 60.43 67.13 67.88 72.47 70.99 68.42 70.85 76.10 69.13 59.36 68.14 63.05 57.28 66.07 69.47 70.52
 56.33 62.37 66.78 60.80 54.47 60.96 74.36 63.99 75.38 70.73 60.92 71.30 56.72 73.40 58.11 66.44 67.20 71.49 68.90 66.11 69.31 74.47 67.43 57.55 66.80 62.00 55.27 64.50 66.43 68.77
 57.63 64.02 67.97 62.40 54.83 62.26 74.83 65.32 76.36 71.30 61.23 72.06 57.92 73.65 57.74 67.64 68.06 72.36 68.83 65.94 69.57 74.73 67.61 57.80 67.34 62.76 55.08 64.96 65.34 69.12
 54.46 61.31 64.84 59.44 50.82 59.06 71.12 61.77 73.17 67.58 57.12 68.49 54.51 69.92 53.22 64.14 64.73 68.82 64.65 61.38 65.51 70.86 63.29 53.76 63.62 59.21 50.99 60.96 60.25 65.06
 53.03 60.61 63.41 58.27 48.69 57.77 69.02 59.95 71.54 65.49 54.50 66.53 53.00 67.77 50.53 62.54 63.04 66.85 61.84 58.49 63.23 68.47 60.68 51.29 61.55 57.41 48.35 58.61 56.70 62.84
 53.28 61.58 63.63 58.68 48.26 58.00 68.57 59.61 71.67 65.04 53.74 66.15 53.03 67.43 49.60 62.48 63.08 66.58 60.94 57.55 62.45 67.79 59.63 50.75 61.14 57.46 47.95 57.99 55.04 62.20
 52.30 61.30 62.66 57.79 47.04 57.10 66.89 58.00 70.23 63.44 51.87 64.53 52.04 65.79 48.05 61.12 61.96 65.08 58.88 55.36 60.58 65.91 57.50 49.32 59.80 56.31 46.61 56.20 52.59 60.62
 48.59 58.65 59.12 54.37 43.26 53.70 62.59 53.68 66.56 59.30 47.21 60.39 48.20 61.81 43.83 57.26 58.28 61.07 54.32 50.81 56.25 61.47 52.75 45.25 55.76 52.67 42.83 51.86 47.65 56.45
 46.27 57.34 56.90 52.11 40.79 51.60 59.71 50.54 63.82 56.52 44.01 57.54 45.80 59.11 41.12 54.69 56.02 58.33 51.05 47.47 53.21 58.43 49.24 42.68 53.22 50.20 40.27 48.75 44.29 53.70
 43.15 55.44 54.01 49.11 37.67 48.90 56.29 46.57 61.09 53.13 39.89 54.34 42.59 56.20 37.84 51.55 53.10 55.14 47.35 43.80 49.74 54.98 45.19 39.17 50.04 47.27 37.25 45.09 40.49 50.45
 40.33 53.79 51.13 46.20 35.16 46.42 52.83 42.96 57.99 49.80 36.04 51.18 39.59 53.27 35.06 48.42 50.30 51.96 43.84 40.27 46.47 51.69 41.41 36.34 47.13 44.52 34.74 41.59 37.13 47.37
 35.73 50.10 46.44 41.31 30.82 41.99 47.48 37.43 53.25 44.77 30.53 46.29 34.68 48.69 30.60 43.63 45.53 47.18 38.55 35.21 41.65 46.62 35.84 31.81 42.28 40.01 30.55 36.53 32.25 42.51
 32.05 47.30 42.51 37.28 27.72 38.59 43.04 32.82 49.15 40.65 26.03 42.25 30.80 44.96 27.45 39.42 41.63 43.15 34.49 31.27 37.74 42.60 31.46 28.49 38.58 36.31 27.73 32.45 28.93 38.69
 28.76 44.68 38.94 33.61 25.04 35.52 38.97 28.91 45.59 36.89 21.82 38.88 27.32 41.70 24.74 35.91 38.01 39.78 31.06 28.00 34.51 39.16 27.52 25.57 35.34 33.17 25.18 28.99 25.93 35.35
 24.84 41.28 34.57 29.37 21.94 31.87 34.23 24.33 41.24 32.48 17.19 34.76 23.29 37.70 21.60 31.62 33.61 35.68 27.04 24.13 30.73 35.13 23.23 22.32 31.34 29.20 22.28 25.00 22.57 31.43
 19.91 36.57 29.18 23.97 17.84 27.09 28.65 18.87 36.12 27.34 11.61 29.82 18.17 32.93 17.60 26.45 28.08 30.64 22.41 19.68 26.14 30.53 18.13 18.03 26.56 24.25 18.48 20.29 18.71 26.66
 16.66 33.37 25.31 20.49 15.55 24.12 24.55 15.45 32.40 23.68 7.81 26.50 14.93 29.38 15.47 22.73 23.89 27.31 19.75 16.89 23.23 27.59 14.89 15.76 23.36 20.97 16.55 17.34 16.43 23.56
 12.39 29.07 20.57 15.89 12.21 20.16 19.80 11.16 27.85 19.23 2.97 22.51 10.86 25.19 12.36 18.35 18.80 23.12 16.26 13.51 19.62 24.03 11.04 12.42 19.28 16.67 13.55 13.60 13.48 19.70
 9.41 25.52 16.85 12.70 10.24 17.44 16.22 8.17 24.53 16.23 -0.15 19.61 8.11 22.01 10.74 15.05 14.69 20.08 14.24 11.37 17.12 21.73 8.48 10.45 16.51 13.60 12.13 11.37 11.86 17.13
 6.28 21.61 13.17 9.33 7.96 14.44 12.58 5.31 20.88 12.77 -3.64 16.68 5.09 18.46 8.61 11.69 10.43 16.90 11.96 9.08 14.63 19.32 6.10 8.22 13.48 10.08 10.00 8.77 9.76 14.03
 2.97 17.31 9.16 5.73 5.57 11.44 9.11 2.54 17.63 9.73 -6.72 13.55 2.35 14.90 6.82 8.29 6.05 13.63 10.11 7.10 12.07 17.12 3.84 5.91 10.63 6.89 8.40 6.57 8.24 11.42
 0.73 13.89 6.50 3.46 4.35 9.54 6.77 0.88 14.76 7.31 -8.59 11.49 0.72 12.07 5.84 6.07 2.68 11.34 9.43 5.95 10.70 15.89 2.92 4.86 8.55 4.38 7.43 5.15 7.48 9.55
 -1.31 10.61 4.07 1.17 3.06 7.64 4.93 -0.52 12.98 5.84 -10.29 9.75 -0.90 9.85 5.12 4.08 -0.10 9.40 9.16 5.30 9.61 15.16 2.34 3.78 7.12 2.50 6.92 4.32 7.08 8.24
 -2.92 7.77 2.32 -0.48 2.31 6.44 3.57 -1.40 11.18 4.39 -11.23 8.55 -1.81 7.80 4.77 2.71 -2.45 8.17 9.36 4.92 8.92 14.96 2.20 3.16 6.01 0.76 6.50 3.78 7.18 7.21
 -3.92 5.40 1.20 -1.61 1.75 5.54 2.91 -1.73 10.42 3.89 -11.51 7.74 -2.35 6.37 4.64 1.84 -3.98 7.16 9.89 5.01 8.63 14.97 2.70 2.78 5.58 -0.17 6.60 3.86 7.47 6.85
 -4.88 3.32 0.34 -2.56 1.44 4.92 2.58 -1.82 9.75 3.46 -11.62 7.23 -2.57 5.18 4.78 1.25 -5.20 6.49 10.80 5.25 8.67 15.44 3.41 2.61 5.30 -1.07 6.81 4.00 8.12 6.60
